local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c,time
709.2,246.5,0.0008801157260927844,0.05040103060742153,9.3945,0.0023921466443154304,70.6,4.7,126.8,20.546612977981567
732.9,190.3,0.0009502197667738893,0.03200228165440402,9.129999999999999,0.0019102882164060097,69.7,4.9,113.7,20.546612977981567
756.5,146.3,0.001230544961362415,0.016530391775134445,9.040000000000003,0.0017264567146164484,75.9,14.1,79.8,20.546612977981567
762.8,142.4,0.001116650370685207,0.0157725739054113,9.023,0.0015898275878475459,83.0,9.5,92.4,20.546612977981567
766.4,133.0,0.001986611898238298,0.0031612226150269256,9.222,0.002081448576689106,107.1,35.2,21.6,20.546612977981567
726.5,218.5,0.0008677501807582344,0.03972736323032514,9.311000000000002,0.0020595710776679884,66.2,5.1,121.9,20.546612977981567
754.4,162.8,0.0010669557164547886,0.02165427403036472,9.129999999999999,0.0017165839373657302,83.9,9.4,97.3,20.546612977981567
759.4,149.4,0.0009709770069799868,0.018657301954865507,9.0475,0.001530696065625952,85.7,3.5,103.5,20.546612977981567
769.1,131.6,0.0018025868759148048,0.005017195611490683,9.1685,0.0019531027442595248,84.9,30.8,32.2,20.546612977981567
748.7,184.3,0.0010284294151945276,0.025360486265639148,9.27,0.001789244003163702,72.7,9.4,103.8,20.546612977981567
767.8,153.2,0.0013331056965103327,0.014828606140613081,9.2205,0.0017779638807287252,94.0,17.6,73.4,20.546612977981567
749.3,173.8,0.001040663888332275,0.021806318386414485,9.158,0.0016948534399247096,78.0,9.1,101.9,20.546612977981567
758.6,149.9,0.0017964718445869076,0.004723763477629565,9.2725,0.0019381847489157943,101.5,30.4,32.4,20.546612977981567
727.0,219.0,0.00091122079424646,0.0333720608588187,9.3835,0.001912382620011021,79.5,8.8,114.4,20.546612977981567
746.6,184.1,0.0009263832382302762,0.025297607736713183,9.216,0.001685311470331672,81.3,4.9,114.4,20.546612977981567
761.5,151.0,0.0011074963552553199,0.015154341997364412,9.1375,0.0015621266151762524,88.6,8.5,90.5,20.546612977981567
765.9,149.1,0.0010017732199662417,0.01674540397260234,9.0985,0.001504135339144312,81.8,4.6,101.8,20.546612977981567
775.6,129.1,0.0012872237296547495,0.011194475085953223,9.108500000000001,0.0016230579822333463,85.9,13.3,74.7,20.546612977981567
776.7,140.3,0.0011457588007250641,0.01455264973496298,9.175,0.001582338292773954,90.1,8.6,90.1,20.546612977981567
777.7,140.3,0.0011334689031102893,0.014143800757523386,9.181,0.001557782925835991,89.0,8.4,89.3,20.546612977981567
778.2,140.0,0.0011509403085307943,0.013829855815132314,9.2165,0.001565835982984764,89.7,8.3,88.9,20.546612977981567
784.3,140.8,0.0012720046722072282,0.012805961899996832,9.307,0.0016561835292071333,83.9,13.5,78.8,20.546612977981567
790.4,145.9,0.001042385982621686,0.016361430746676228,9.312999999999999,0.001533228905021973,87.0,4.5,101.3,20.546612977981567
794.7,131.6,0.001317095870917901,0.010785624544668939,9.3585,0.001640664607257969,87.1,13.5,74.6,20.546612977981567
801.3,144.1,0.0011871483416851629,0.014452296313142477,9.469000000000001,0.0016207172310794369,89.6,9.1,90.2,20.546612977981567
804.9,143.5,0.0009475506150641589,0.01814769125523249,9.426000000000002,0.0014919813527211338,86.0,0.0,112.7,20.546612977981567
820.0,116.8,0.0010208249213163392,0.013305195846409509,9.3475,0.0014199807967086244,79.4,0.0,101.7,20.546612977981567
