local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c
485.2,217.5,0.010712725119663197,0.011324225,4.763442661111968,0.011845147619663196,105.8,66.6,39.4
458.8,283.9,0.004847913664033802,0.19863742395858439,6.211370774618621,0.024711656059892242,79.8,19.5,199.8
496.4,163.9,0.011536660908487293,0.02349649125,4.762771185032706,0.013886310033487295,101.0,69.4,53.7
435.9,211.2,0.004456174981423093,0.137996993828526,6.489223469631729,0.018255874364275695,99.9,9.2,176.5
459.2,134.6,0.011458206464155738,0.016933885000000003,4.83263141183688,0.01315159496415574,104.0,69.2,48.2
430.8,190.4,0.008451425638829807,0.07704461375000002,5.597355786462971,0.01615588701382981,94.6,38.8,106.9
453.6,178.1,0.011111796360527984,0.041133665,5.038459356180167,0.015225162860527986,113.6,59.5,76.6
413.7,215.1,0.010597496827289327,0.027960315406997734,4.51734991936341,0.013393528367989103,104.9,76.6,41.3
356.7,278.7,0.004797746454866524,0.14029173613460627,5.932990467806147,0.018826920068327153,61.0,28.1,165.9
445.6,173.8,0.011179119963167653,0.029762381250000004,4.808075948657486,0.014155358088167655,111.8,68.2,54.3
422.8,231.3,0.00539665664540867,0.1642565941151926,6.224412456212912,0.021822316056927932,78.5,20.0,189.0
491.5,120.8,0.009875672487181967,0.017390815,5.041156051660461,0.011614753987181968,116.3,54.1,60.2
504.5,176.9,0.009230993421029362,0.09177404138307146,5.6494170868790405,0.018408397559336508,114.8,38.7,123.9
471.6,167.8,0.010359477927371834,0.024126376249999998,4.808420265663732,0.012772115552371835,98.1,65.7,45.1
401.3,220.8,0.003712793345371433,0.1500049703053885,6.490907512088036,0.018713290375910286,89.6,9.3,190.3
452.0,120.1,0.011334034697476542,0.00609520375,4.465565777798558,0.011943555072476544,97.4,78.1,26.9
449.0,190.6,0.00900275839171699,0.07345701000000002,5.324682165432638,0.016348459391716995,84.1,48.8,92.4
468.8,182.3,0.01077256969159938,0.0199082475,4.509993886591863,0.012763394441599383,101.8,76.4,34.2
431.7,249.9,0.005063080752951378,0.13420450125000002,6.226499553378474,0.01848353087795138,83.7,19.6,170.7
474.1,162.9,0.010074672818829507,0.022581428750000004,4.793751825750488,0.012332815693829506,103.8,64.3,52.9
496.8,213.8,0.010413234326320554,0.028544650000000005,4.790430899186997,0.013267699326320553,109.8,64.9,57.8
476.5,265.8,0.004093102738273828,0.18015982018549456,6.5414713007150596,0.022109084756823286,93.1,10.0,202.1
556.9,156.8,0.0115416483365831,0.04232375000000001,4.5395419775170165,0.0157740233365831,105.3,78.7,49.0
523.3,213.1,0.008551248071725599,0.08174150000000002,5.701585420436233,0.0167253980717256,98.6,39.5,115.0
512.1,196.7,0.011696264489368327,0.014603399999999999,4.801735036332536,0.013156604489368326,110.1,69.8,42.0
466.5,264.8,0.004251333763453177,0.18430716830931287,6.586406016406315,0.022682050594384464,98.3,10.0,212.4
523.5,150.7,0.010703168582507947,0.028729391249999996,5.158824841987129,0.013576107707507949,114.5,57.2,62.7
