local_queue,uav_queue,energy_user,energy_uav,delay,weightedE
258.5,67.4,0.007210241615033067,0.0,2.563916332976903,0.07210241615033067
197.7,167.0,0.003933171804137609,0.026474430440656567,2.5507894927979633,0.06580614848203266
221.3,171.5,0.00400909958907088,0.03352314650503478,2.465248965033083,0.07361414239574358
211.6,187.3,0.0021877184478879042,0.1281016004563937,2.22238115210516,0.14997878493527272
216.8,61.7,0.003769805252579811,0.00320794125,2.55750425381727,0.04090599377579811
160.4,126.0,0.0033783350820121355,0.0755865132577372,2.5328627163189497,0.10936986407785856
180.4,45.3,0.0029880005383747933,0.0024458862500000003,2.5809223204294662,0.03232589163374794
182.7,90.2,0.0035313696284370796,0.04006748250000001,2.425168257387036,0.07538117878437081
231.0,68.7,0.00482414714962321,1.52e-06,2.637100486284786,0.0482429914962321
210.8,156.0,0.003929880276311873,0.09143109366922195,2.388182462650308,0.13072989643234068
224.7,91.1,0.004712345407836926,0.016394163750000003,2.459801337503189,0.06351761782836926
167.6,155.1,0.0033052352925522547,0.01441124,2.5579849043000036,0.04746359292552255
139.6,160.5,0.0024049922880698305,0.08630531347284531,2.315942649857578,0.11035523635354363
170.7,62.6,0.002879568283050362,0.01442897,2.7465378902645172,0.04322465283050361
174.3,77.8,0.0038609580221041417,0.02824364125,2.5780523989449495,0.0668532214710414
191.6,64.9,0.0029045007068078795,0.00870983875,2.516273864945263,0.037754845818078794
178.7,112.4,0.00414480031622329,0.0425154825,2.434889599532403,0.08396348566223293
202.0,90.2,0.004052141342457544,0.034882380000000004,2.5992568659883433,0.07540379342457544
240.9,48.8,0.005892780691546489,5.832000000000001e-05,2.5775528799799896,0.058986126915464884
175.4,138.6,0.004271781429502311,0.060077653958584366,2.48686712208035,0.10279546825360748
171.0,133.3,0.0020171421104460806,0.1018334335963869,2.279635377864019,0.12200485470084771
215.1,44.7,0.005089096877431253,7.3700000000000014e-06,2.5076091910297906,0.05089833877431253
157.6,143.9,0.0023302977551091547,0.07999203040425798,2.3120342585752636,0.10329500795534952
191.3,79.9,0.0041154454811320774,0.00294079625,2.765906179155103,0.04409525106132078
199.8,99.9,0.0037182256871881175,0.011754460000000003,2.76399857248103,0.048936716871881177
190.1,132.4,0.004050192198626408,0.05660362502516798,2.5967689950547603,0.09710554701143206
186.4,121.4,0.004374989785362805,0.037213978635070054,2.5523603340618175,0.0809638764886981
201.1,121.2,0.00367135153752078,0.029584947500000004,2.636229815988476,0.06629846287520781
175.5,122.7,0.003616600152991821,5.5257500000000004e-05,2.5474442309282823,0.03622125902991822
172.8,206.9,0.0010602167249968725,0.1490672855545701,2.1365454776616617,0.15966945280453881
206.6,64.9,0.003990876851564613,0.00231077,2.6301059768686508,0.04221953851564613
128.0,145.9,0.0015651995615715848,0.07938819250000001,2.1784515954111505,0.09504018811571587
168.7,47.2,0.002963201627872668,0.00121287375,2.6455335293331785,0.03084489002872668
154.6,88.9,0.0036008093433096155,0.0,2.9127860696517414,0.036008093433096154
187.6,88.9,0.003255452610449921,0.03372128712193038,2.4300967083394083,0.0662758132264296
146.8,84.6,0.002501344870537739,0.010409623750000001,2.6812382351776862,0.03542307245537739
167.3,103.3,0.002793179892124974,0.0,2.710751343558607,0.02793179892124974
169.6,166.6,0.002968220711473191,0.028724609621930373,2.5427743762208506,0.05840681673666228
194.9,176.8,0.0036690367767270833,0.04674683343065279,2.589901915119227,0.08343720119792364
185.4,156.0,0.003922437526307225,0.01525806,2.6995984561127786,0.05448243526307225
177.7,172.1,0.0014390309224691922,0.08890880462193038,2.3278260675777336,0.10329911384662231
225.5,95.0,0.004107548218880738,0.027266692500000002,2.4133455927341267,0.06834217468880739
187.4,118.1,0.0032177759568868154,0.0030577050000000004,2.8328292150304213,0.03523546456886816
170.8,152.9,0.0022293126406289073,0.06688386489260804,2.464588779489009,0.08917699129889713
146.6,83.0,0.002247922081099793,0.009908810000000002,2.671539631223051,0.032388030810997934
128.6,94.9,0.002760105184551027,0.0,2.9159353023909986,0.027601051845510267
143.0,94.9,0.0021660869481340225,0.024057101250000004,2.613565884315679,0.045717970731340235
141.3,115.7,0.0028454817208959067,0.016299920000000002,2.7067573489511174,0.04475473720895907
144.5,94.6,0.0023600124265856504,0.03917270000000001,2.5093617003581783,0.06277282426585652
160.6,39.3,0.0023680289363957443,0.008174003750000002,2.6483137838930553,0.03185429311395744
190.8,60.3,0.0037686012182270565,0.0016637499999999999,2.622301150374885,0.03934976218227057
132.1,135.9,0.0017144115120091852,0.05049474796517482,2.357746270024106,0.06763886308526668
121.2,105.4,0.0019180193180312669,0.019369383750000004,2.5051155814026225,0.03854957693031267
140.7,103.3,0.0017510357018588273,0.03825387125,2.3568908805554156,0.055764228268588276
171.2,57.7,0.003087880602477909,0.006429409999999999,2.7277970687138557,0.037308216024779094
165.0,70.6,0.003203480123015607,0.0222302475,2.4919495395182194,0.05426504873015607
168.1,88.0,0.0024952497310346392,0.0,2.680076208882903,0.02495249731034639
137.9,157.5,0.002587915926576473,0.02562112125,2.4460910341587523,0.05150028051576473
163.6,153.1,0.0011079078500697284,0.0992702504817567,2.1527381718953174,0.11034932898245398
210.5,43.3,0.004477872591581818,0.0,2.8071727966777447,0.044778725915818184
214.9,74.5,0.003849494099643965,0.0018063674999999999,2.683083701109806,0.04030130849643965
171.7,141.2,0.0028774278408499067,0.03268154786186038,2.6436054069164583,0.061455826270359455
148.8,155.3,0.0017261316352816941,0.11545528732900612,2.142713039364248,0.13271660368182306
217.5,50.4,0.003828073230066015,0.0018891687500000004,2.6338987065727424,0.04016990105066015
181.1,113.6,0.003637753929486162,0.06636360512841352,2.347733509973355,0.10274114442327514
177.1,62.0,0.0027559604644752053,0.00405224,2.6364426202721005,0.03161184464475205
180.3,111.3,0.0032622888570264285,0.04459361831646999,2.595858674990551,0.07721650688673427
199.0,89.1,0.0042052343636936485,1.157625e-05,2.8322998089282616,0.042063919886936474
204.3,115.2,0.004049601889610035,0.04293639254750793,2.62018630246197,0.08343241144360829
189.4,99.4,0.003073336385866266,0.024688813206948625,2.672108688592774,0.05542217706561128
183.6,108.7,0.003802532132347168,0.018429515,2.7675331565633785,0.05645483632347168
169.7,98.3,0.0032906160439048473,3.3830000000000006e-05,2.75056171781869,0.03293999043904848
146.0,133.9,0.002036178716037594,0.07575244962999604,2.3482436750878204,0.09611423679037198
187.6,71.0,0.0034000666024087494,0.006322050000000001,2.6029742536167775,0.04032271602408749
162.7,126.4,0.00344224337874014,0.0510424325,2.499682776965243,0.08546486628740141
157.0,119.2,0.002954921764613536,0.04609626236508232,2.3705681336689954,0.07564548001121768
182.7,96.1,0.0036129838596828307,0.007660642500000002,2.7158797076898504,0.043790481096828315
181.8,98.9,0.003956739919134656,0.013914180000000002,2.5499893434612786,0.053481579191346565
176.5,124.2,0.003372663189957243,0.0,2.8153046083126574,0.03372663189957243
177.3,152.5,0.0026985834339337453,0.06610474587193038,2.369281799793627,0.09309058021126784
188.1,107.3,0.0033618917812962648,0.01336867625,2.6175139950588697,0.04698759406296264
190.9,123.3,0.0030604924713342153,0.045130162392608045,2.3095083302581516,0.0757350871059502
210.4,102.7,0.0038424147370395454,0.00465484375,2.7167116572842156,0.043078991120395455
171.1,144.7,0.0022275170234229607,0.06715875643518916,2.4355671349348116,0.08943392666941877
